INSERT INTO TM_salary(cl_rank, class, pt, Expt, salary, del_flg)
VALUES
     ("L3", 9, 41, 2, 242000, 0),
     ("L3", 10, 46, 3, 246000, 0),
     ("L3", 11, 51, 3, 250000, 0),
     ("L3", 12, 57, 3, 254000, 0),
     ("L3", 13, 63, 3, 258000, 0),
     ("L3", 14, 70, 4, 262000, 0),
     ("L3", 15, 77, 4, 266000, 0),
     ("L3", 16, 85, 4, 270000, 0),
     ("L3", 17, 94, 4, 274000, 0),
     ("L3", 18, 104, 5, 278000, 0),
     ("L3", 19, 115, 5, 282000, 0),
     ("L3", 20, 127, 5, 286000, 0),
     ("L3", 21, 140, 5, 290000, 0),
     ("L3", 22, 154, 5, 294000, 0),
     ("L3", 23, 170, 5, 298000, 0),
     ("L3", 24, 187, 5, 303000, 0),
     ("L3", 25, 206, 5, 308000, 0),
     ("L4", 1, 45, 6, 273000, 0),
     ("L4", 2, 50, 6, 278000, 0),
     ("L4", 3, 55, 6, 283000, 0),
     ("L4", 4, 61, 6, 288000, 0),
     ("L4", 5, 68, 7, 293000, 0),
     ("L4", 6, 75, 7, 298000, 0),
     ("L4", 7, 83, 7, 303000, 0),
     ("L4", 8, 92, 8, 309000, 0),
     ("L4", 9, 102, 8, 315000, 0),
     ("L4", 10, 113, 8, 321000, 0),
     ("L4", 11, 125, 9, 327000, 0),
     ("L4", 12, 138, 9, 333000, 0),
     ("L4", 13, 152, 9, 339000, 0),
     ("L4", 14, 168, 10, 345000, 0),
     ("L4", 15, 185, 10, 351000, 0),
     ("L4", 16, 204, 10, 358000, 0),
     ("L4", 17, 225, 10, 365000, 0),
     ("L4", 18, 248, 10, 372000, 0),
     ("L4", 19, 999, 999, 0, 1),
     ("L4", 20, 999, 999, 0, 1),
     ("L4", 21, 999, 999, 0, 1),
     ("L4", 22, 999, 999, 0, 1),
     ("L4", 23, 999, 999, 0, 1),
     ("L4", 24, 999, 999, 0, 1),
     ("L4", 25, 999, 999, 0, 1),
     ("L5", 1, 85, 11, 361000, 0),
     ("L5", 2, 94, 12, 380000, 0),
     ("L5", 3, 104, 13, 400000, 0),
     ("L5", 4, 115, 14, 420000, 0),
     ("L5", 5, 127, 15, 440000, 0),
     ("L5", 6, 140, 17, 460000, 0),
     ("L5", 7, 154, 19, 480000, 0),
     ("L5", 8, 170, 21, 500000, 0),
     ("L5", 9, 187, 23, 520000, 0),
     ("L5", 10, 206, 25, 550000, 0),
     ("L5", 11, 227, 27, 580000, 0),
     ("L5", 12, 250, 29, 600000, 0),
     ("L5", 13, 275, 32, 620000, 0),
     ("L5", 14, 303, 35, 640000, 0),
     ("L5", 15, 334, 38, 660000, 0),
     ("L5", 16, 999, 999, 0, 1),
     ("L5", 17, 999, 999, 0, 1),
     ("L5", 18, 999, 999, 0, 1),
     ("L5", 19, 999, 999, 0, 1),
     ("L5", 20, 999, 999, 0, 1),
     ("L5", 21, 999, 999, 0, 1),
     ("L5", 22, 999, 999, 0, 1),
     ("L5", 23, 999, 999, 0, 1),
     ("L5", 24, 999, 999, 0, 1),
     ("L5", 25, 999, 999, 0, 1);
